state,year,medianHI,IncarcerationRate,total_pop
"AL",2005,105,2.9589902445790375e-3,86516
"AL",2005,108,4.120752773229824e-3,54359
"AL",2005,107,5.113649877510247e-3,126133
"AL",2005,105,5.292179524386704e-3,175731
"AL",2005,109,5.197158251084728e-3,41946
"AL",2005,109,6.534063611031037e-3,114477
"AL",2005,112,3.4976343055638736e-3,83485
"AL",2005,111,3.888578254460428e-3,78692
"AL",2005,112,4.9995614419787735e-3,45604
"AL",2005,110,6.083591098455415e-3,398942
"AL",2005,115,9.76539620672396e-3,93903
"AL",2005,123,2.050380785002929e-3,54624
"AL",2005,124,3.7445829768733433e-3,71303
"AL",2005,125,6.089642343196097e-3,113964
"AL",2005,121,8.577510643626347e-3,223608
"AL",2005,138,3.494203732631752e-3,72978
"AL",2005,138,4.173783679541573e-3,72596
"AL",2005,131,4.469954073227948e-3,211859
"AL",2005,127,7.358161849022551e-3,654919
"AL",2005,153,4.421608496918474e-3,301474
"AL",2005,187,2.0035994897810603e-3,171691
"AL",2006,77,1.640603183468305e-3,28648
"AL",2006,87,3.457182060319083e-3,74338
"AL",2006,89,4.0992221988648304e-3,47570
"AL",2006,88,4.367175477269891e-3,48086
"AL",2006,72,4.944989944398438e-3,42265
"AL",2006,79,5.4724993957808235e-3,57926
"AL",2006,89,8.622519800767534e-3,61235
"AL",2006,90,9.44e-3,68750
"AL",2006,87,9.870428197121424e-3,27861
"AL",2006,97,2.3623110151187905e-3,14816
"AL",2006,96,3.343309730637273e-3,68495
"AL",2006,97,4.113566704307146e-3,24796
"AL",2006,94,4.4003340399563174e-3,31134
"AL",2006,98,4.745360562664181e-3,23602
"AL",2006,100,5.745547402786308e-3,123748
"AL",2006,97,7.096866504507082e-3,34945
"AL",2006,99,7.989889158446766e-3,137674
"AL",2006,107,3.5890181284711307e-3,114516
"AL",2006,109,4.296884554860698e-3,122647
"AL",2006,110,6.529183886055869e-3,146879
"AL",2006,108,8.818041004500494e-3,81991
"AL",2006,112,2.5131547946281316e-3,25466
"AL",2006,113,3.012855185801162e-3,197819
"AL",2006,112,3.789962711657192e-3,49077
"AL",2006,111,5.411408856751264e-3,42318
"AL",2006,113,9.849132984162094e-3,95846
"AL",2006,115,2.6247591202073228e-3,90294
"AL",2006,114,4.46432025501559e-3,129247
"AL",2006,115,4.824046354950574e-3,181383
"AL",2006,123,6.0177849356226895e-3,115491
"AL",2006,116,6.552234212590218e-3,402916
"AL",2006,126,1.8563575741191312e-3,55485
"AL",2006,126,5.840616076836549e-3,46228
"AL",2006,124,9.045672727912676e-3,227291
"AL",2006,127,7.46158291062719e-3,655893
"AL",2006,134,3.353654397088974e-3,73651
"AL",2006,141,4.07121494449055e-3,319315
"AL",2006,141,4.94856608478803e-3,51328
"AL",2006,156,4.53148753113174e-3,309170
"AL",2006,202,2.1024261774425326e-3,178841
"AL",2007,81,2.2421063457780522e-3,48615
"AL",2007,80,3.399590661532591e-3,28827
"AL",2007,86,3.979133810505884e-3,82430
"AL",2007,88,4.65421257665951e-3,77779
"AL",2007,71,5.0079914757591906e-3,9385
"AL",2007,81,5.741401481535146e-3,110426
"AL",2007,81,8.821708625670657e-3,38768
"AL",2007,83,1.0029974636845745e-2,69392
"AL",2007,94,3.525497790357019e-3,40278
"AL",2007,93,4.14353528039263e-3,24858
"AL",2007,100,4.446414063077037e-3,67695
"AL",2007,98,5.5144047900704315e-3,54947
"AL",2007,96,6.758716714045368e-3,68948
"AL",2007,98,8.730891092942368e-3,154967
"AL",2007,103,2.8105624859938744e-3,107096
"AL",2007,102,3.2965699493042824e-3,148336
"AL",2007,101,4.223021172173715e-3,17523
"AL",2007,103,5.93081260257056e-3,61543
"AL",2007,105,6.324702480832279e-3,116211
"AL",2007,101,6.688559424349254e-3,41414
"AL",2007,106,4.569981279594759e-3,54486
"AL",2007,106,6.438016834477404e-3,405715
"AL",2007,108,3.1115139544636698e-3,147838
"AL",2007,110,3.845380516738715e-3,79576
"AL",2007,112,4.456773841466187e-3,131934
"AL",2007,112,4.943914554231478e-3,42881
"AL",2007,109,6.554496925467937e-3,14799
"AL",2007,109,9.87522194926179e-3,82226
"AL",2007,116,4.182832201745878e-3,49488
"AL",2007,116,9.829389875728428e-3,227888
"AL",2007,114,1.0764681203761499e-2,97727
"AL",2007,122,2.5960170697012803e-3,56240
"AL",2007,117,4.708435042039599e-3,184350
"AL",2007,123,5.850666254284904e-3,116397
"AL",2007,126,7.590477484229115e-3,655163
"AL",2007,135,3.5642711196119774e-3,153187
"AL",2007,141,4.25971669103191e-3,79348
"AL",2007,139,4.372600741073533e-3,224809
"AL",2007,149,5.25867554826679e-3,315859
"AL",2007,189,2.3706884806339278e-3,183491
"AL",2008,82,2.5641555863438036e-3,48359
"AL",2008,90,3.6027921639270434e-3,26646
"AL",2008,81,4.227733934611048e-3,24836
"AL",2008,70,4.733014930510735e-3,23241
"AL",2008,89,5.064617534055187e-3,74438
"AL",2008,80,5.858341899619757e-3,100199
"AL",2008,89,6.953877999870625e-3,30918
"AL",2008,87,9.067832463686363e-3,70910
"AL",2008,81,1.12377026869386e-2,51434
"AL",2008,91,2.8380295965943643e-3,14799
"AL",2008,99,2.959001782531194e-3,84150
"AL",2008,96,4.6992111100901774e-3,76183
"AL",2008,98,5.983134958602829e-3,78387
"AL",2008,97,6.412437980261154e-3,55829
"AL",2008,96,7.539440425346465e-3,22946
"AL",2008,101,7.656834594970852e-3,11493
"AL",2008,98,1.040073162620552e-2,120280
"AL",2008,104,2.8109627547434997e-3,91072
"AL",2008,106,3.5582100932441663e-3,188859
"AL",2008,102,4.068696100832904e-3,67835
"AL",2008,106,4.840661557079467e-3,14874
"AL",2008,102,6.538618716796077e-3,17129
"AL",2008,105,8.886244554056389e-3,104206
"AL",2008,114,3.3922096151596678e-3,34196
"AL",2008,110,4.360121086791325e-3,80273
"AL",2008,113,4.7179466186343545e-3,97712
"AL",2008,112,6.190630489281512e-3,117274
"AL",2008,115,3.8757982823166702e-3,22705
"AL",2008,117,4.140525110760905e-3,134524
"AL",2008,115,6.5469848190109385e-3,409196
"AL",2008,120,4.351226163501835e-3,49871
"AL",2008,121,6.265974111633275e-3,48516
"AL",2008,121,1.0222137862627203e-2,326644
"AL",2008,130,2.7906386757151013e-3,78835
"AL",2008,129,2.9270002629042152e-3,57055
"AL",2008,123,4.923096553300761e-3,188093
"AL",2008,130,7.651063959421791e-3,656510
"AL",2008,137,3.9151471873730345e-3,81223
"AL",2008,148,4.138194311891582e-3,130975
"AL",2008,146,4.777423262638844e-3,175827
"AL",2008,130,5.956123506720819e-3,117694
"AL",2008,155,5.316419700425932e-3,323526
"AL",2008,202,2.7209946216597536e-3,188534
"AL",2009,77,2.581107725398817e-3,27895
"AL",2009,83,3.7055335968379445e-3,44528
"AL",2009,85,4.240073202479605e-3,77593
"AL",2009,90,4.93873805796945e-3,74108
"AL",2009,81,6.173357266276359e-3,178833
"AL",2009,83,8.398404584012134e-3,71204
"AL",2009,97,2.6953036802890044e-3,70864
"AL",2009,97,3.727219282774838e-3,85050
"AL",2009,99,5.401554189518334e-3,60353
"AL",2009,101,6.280788177339901e-3,73080
"AL",2009,98,6.58578856152513e-3,17310
"AL",2009,92,7.244012269137897e-3,30646
"AL",2009,98,8.198634533465601e-3,34274
"AL",2009,94,1.02883865939205e-2,89810
"AL",2009,106,4.176983007548837e-3,165191
"AL",2009,106,4.409657149156653e-3,54426
"AL",2009,107,6.657485869739699e-3,118363
"AL",2009,106,1.0499068631008539e-2,82674
"AL",2009,109,3.1329774889765605e-3,25854
"AL",2009,107,3.199115092232115e-3,92213
"AL",2009,108,4.352752512275009e-3,161507
"AL",2009,111,4.737374666544016e-3,43484
"AL",2009,108,6.837377664566296e-3,14918
