county,,year,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,fips
"Gilpin",70,2014,422,72,494,"Misdemeanor",286,254,32,73,62,11,359,8047
"Gilpin",71,2015,509,122,631,"Misdemeanor",356,309,47,122,113,9,478,8047
"Gilpin",72,2016,384,126,510,"Misdemeanor",231,209,22,122,109,13,353,8047
"Gilpin",262,2014,78,16,94,"Felony",64,56,8,16,15,1,80,8047
"Gilpin",263,2015,149,25,174,"Felony",112,96,16,25,23,2,137,8047
"Gilpin",264,2016,124,27,151,"Felony",77,72,5,28,25,3,105,8047
"Grand",73,2014,303,21,324,"Misdemeanor",223,202,21,19,18,1,242,8049
"Grand",74,2015,240,65,305,"Misdemeanor",182,162,20,62,56,6,244,8049
"Grand",75,2016,258,95,353,"Misdemeanor",181,159,22,93,77,16,274,8049
"Grand",265,2014,63,7,70,"Felony",44,36,8,7,5,2,51,8049
"Grand",266,2015,41,8,49,"Felony",29,25,4,8,8,NA,37,8049
"Grand",267,2016,48,14,62,"Felony",33,27,6,14,12,2,47,8049
"Gunnison",76,2014,326,40,366,"Misdemeanor",256,226,30,41,38,3,297,8051
"Gunnison",77,2015,363,48,411,"Misdemeanor",294,256,38,53,44,9,347,8051
"Gunnison",78,2016,363,43,406,"Misdemeanor",283,243,40,42,36,6,325,8051
"Gunnison",268,2014,85,7,92,"Felony",73,60,13,7,7,NA,80,8051
"Gunnison",269,2015,72,15,87,"Felony",53,46,7,14,11,3,67,8051
"Gunnison",270,2016,102,13,115,"Felony",76,55,21,11,9,2,87,8051
"Hinsdale",79,2014,10,NA,10,"Misdemeanor",4,4,NA,NA,NA,NA,4,8053
"Hinsdale",80,2015,6,5,11,"Misdemeanor",5,5,NA,NA,NA,NA,5,8053
"Hinsdale",81,2016,6,3,9,"Misdemeanor",1,1,NA,NA,NA,NA,1,8053
"Hinsdale",271,2014,2,1,3,"Felony",1,1,NA,1,1,NA,2,8053
"Hinsdale",272,2015,3,NA,3,"Felony",2,2,NA,1,1,NA,3,8053
"Hinsdale",273,2016,2,2,4,"Felony",2,2,NA,1,NA,1,3,8053
"Huerfano",82,2014,228,25,253,"Misdemeanor",107,94,13,25,24,1,132,8055
"Huerfano",83,2015,234,26,260,"Misdemeanor",100,81,19,26,22,4,126,8055
"Huerfano",84,2016,224,36,260,"Misdemeanor",88,79,9,36,29,7,124,8055
"Huerfano",274,2014,78,36,114,"Felony",47,34,13,37,31,6,84,8055
"Huerfano",275,2015,69,20,89,"Felony",45,34,11,20,15,5,65,8055
"Huerfano",276,2016,96,41,137,"Felony",59,49,10,42,28,14,101,8055
"Jackson",85,2014,17,12,29,"Misdemeanor",11,9,2,12,9,3,23,8057
"Jackson",86,2015,14,7,21,"Misdemeanor",8,7,1,7,6,1,15,8057
"Jackson",87,2016,15,3,18,"Misdemeanor",3,3,NA,3,2,1,6,8057
"Jackson",277,2014,4,2,6,"Felony",3,3,NA,1,1,NA,4,8057
"Jackson",278,2015,1,4,5,"Felony",1,1,NA,3,3,NA,4,8057
"Jackson",279,2016,8,2,10,"Felony",7,5,2,2,2,NA,9,8057
"Jefferson",88,2014,4831,813,5644,"Misdemeanor",2360,2079,281,806,739,67,3166,8059
"Jefferson",89,2015,4920,964,5884,"Misdemeanor",2321,2022,299,952,862,90,3273,8059
"Jefferson",90,2016,5304,1097,6401,"Misdemeanor",2285,2022,263,1046,957,89,3331,8059
"Jefferson",280,2014,2619,437,3056,"Felony",1416,1179,237,448,399,49,1864,8059
"Jefferson",281,2015,3032,440,3472,"Felony",1611,1343,268,456,410,46,2067,8059
"Jefferson",282,2016,3404,539,3943,"Felony",1738,1503,235,563,493,70,2301,8059
"Kiowa",91,2014,87,3,90,"Misdemeanor",44,41,3,2,2,NA,46,8061
"Kiowa",92,2015,65,4,69,"Misdemeanor",26,25,1,4,4,NA,30,8061
"Kiowa",93,2016,53,3,56,"Misdemeanor",26,24,2,3,3,NA,29,8061
