fips,year,county,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type,jud_district,medianHI,medianHI_MOE,povertyR
8059,2016,"Jefferson",3404.0,539,3943.0,"felonybondtype",1,74342,2275,7.0
8061,2014,"Kiowa",87.0,3,90.0,"misdemeanorbondtype",15,42310,3342,13.5
8061,2014,"Kiowa",8.0,2,10.0,"felonybondtype",15,42310,3342,13.5
8061,2015,"Kiowa",65.0,4,69.0,"misdemeanorbondtype",15,42108,4303,13.9
8061,2015,"Kiowa",9.0,1,10.0,"felonybondtype",15,42108,4303,13.9
8061,2016,"Kiowa",53.0,3,56.0,"misdemeanorbondtype",15,43951,4670,13.9
8061,2016,"Kiowa",4.0,NA,4.0,"felonybondtype",15,43951,4670,13.9
8063,2014,"Kit Carson",181.0,39,220.0,"misdemeanorbondtype",13,46394,4486,14.9
8063,2014,"Kit Carson",49.0,6,55.0,"felonybondtype",13,46394,4486,14.9
8063,2015,"Kit Carson",164.0,62,226.0,"misdemeanorbondtype",13,44090,3951,12.2
8063,2015,"Kit Carson",54.0,14,68.0,"felonybondtype",13,44090,3951,12.2
8063,2016,"Kit Carson",196.0,73,269.0,"misdemeanorbondtype",13,48272,3698,14.3
8063,2016,"Kit Carson",61.0,27,88.0,"felonybondtype",13,48272,3698,14.3
8067,2014,"La Plata",753.0,463,1216.0,"misdemeanorbondtype",6,60658,3970,10.7
8067,2014,"La Plata",249.0,224,473.0,"felonybondtype",6,60658,3970,10.7
8067,2015,"La Plata",906.0,541,1447.0,"misdemeanorbondtype",6,60732,3185,9.4
8067,2015,"La Plata",281.0,210,491.0,"felonybondtype",6,60732,3185,9.4
8067,2016,"La Plata",1000.0,463,1463.0,"misdemeanorbondtype",6,58499,4570,10.9
8067,2016,"La Plata",324.0,178,502.0,"felonybondtype",6,58499,4570,10.9
8065,2014,"Lake",152.0,63,215.0,"misdemeanorbondtype",5,46765,4834,16.0
8065,2014,"Lake",77.0,8,85.0,"felonybondtype",5,46765,4834,16.0
8065,2015,"Lake",242.0,68,310.0,"misdemeanorbondtype",5,45913,4822,15.7
