year,medianHI,IncarcerationRate,total_pop
2001,85,6.067546386465079e-3,2261705
2001,84,1.0398705414276807e-2,6506483
2001,78,0.20786516853932585,534
2001,97,1.248750829985446e-3,2385584
2001,98,1.9434084167865848e-3,1362040
2001,98,2.4988497796921156e-3,1627949
2001,98,3.0082205139535414e-3,2625140
2001,97,3.6104939444247136e-3,1816095
2001,95,4.054707185680771e-3,3682880
2001,97,4.837382574629874e-3,1649239
2001,98,5.280236145374332e-3,375362
2001,97,6.071466003545253e-3,3062687
2001,98,8.470028058838534e-3,2940250
2001,107,1.2423506596716722e-3,2178129
2001,106,1.9770469466797573e-3,2382341
2001,108,2.4741199757703867e-3,1837421
2001,106,2.998406871802452e-3,974184
2001,105,3.602340553461702e-3,1704725
2001,107,4.205190255473105e-3,2084329
2001,105,4.77186077973189e-3,691135
2001,106,5.372903413092565e-3,2425132
2001,108,5.925980406964603e-3,761393
2001,107,8.186257627331937e-3,6007507
2001,114,1.1909134847752538e-3,775875
2001,115,1.93080482595826e-3,854048
2001,113,2.376328271979486e-3,1612151
2001,114,2.935435475543947e-3,2058979
2001,113,3.5254126182855637e-3,2013665
2001,113,4.317366243865675e-3,2335220
2001,114,4.862448927022161e-3,1824595
2001,114,5.424618144730213e-3,1627580
2001,117,5.881284666083171e-3,3964610
2001,113,7.6319354297925525e-3,4670637
2001,119,1.296723125869809e-3,273767
2001,119,1.9212177412990293e-3,405472
2001,119,2.492134090362144e-3,1121930
2001,119,2.856266936442124e-3,3284707
2001,119,3.5818305756956065e-3,403425
2001,119,4.285266696375186e-3,801117
2001,120,4.862587103932694e-3,2080991
2001,121,5.433547335288903e-3,840335
2001,120,5.624764722513349e-3,12057571
2001,118,8.19351266024213e-3,628424
2001,123,1.2964789809130647e-3,477447
2001,123,1.9156617629000172e-3,325736
2001,122,2.4093604212682648e-3,892353
2001,124,2.929217855113015e-3,640444
2001,124,3.5105154753438195e-3,2706725
2001,124,4.296035930482328e-3,1106136
2001,122,4.795501105509143e-3,2586591
