County,year,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,Crimes,Offenses,EstPopulation
"Dolores",2016,243,16,1,17,"Felony",12,11,1,1,1,NA,13,65,64,1965
"Douglas",2014,52,2230,625,2855,"Misdemeanor",1339,1199,140,582,529,53,1921,8051,7848,312386
"Douglas",2014,244,582,112,694,"Felony",343,295,48,110,98,12,453,8051,7848,312386
"Douglas",2015,53,2315,975,3290,"Misdemeanor",1381,1260,121,928,840,88,2309,10421,10210,322839
"Douglas",2015,245,573,197,770,"Felony",357,302,55,198,175,23,555,10421,10210,322839
"Douglas",2016,54,2810,979,3789,"Misdemeanor",1581,1444,137,943,842,101,2524,11822,11563,322839
"Douglas",2016,246,750,279,1029,"Felony",476,419,57,276,244,32,752,11822,11563,322839
"Eagle",2014,55,759,228,987,"Misdemeanor",362,317,45,223,197,26,585,2281,2235,54826
"Eagle",2014,247,225,34,259,"Felony",180,164,16,34,32,2,214,2281,2235,54826
"Eagle",2015,56,861,166,1027,"Misdemeanor",419,359,60,208,188,20,627,2342,2282,55332
"Eagle",2015,248,332,24,356,"Felony",257,238,19,26,26,NA,283,2342,2282,55332
"Eagle",2016,57,891,158,1049,"Misdemeanor",483,417,66,166,147,19,649,2079,2042,55332
"Eagle",2016,249,283,17,300,"Felony",201,189,12,18,17,1,219,2079,2042,55332
"El Paso",2014,58,7742,993,8735,"Misdemeanor",3521,3085,436,1176,1099,77,4697,43401,42706,666136
"El Paso",2014,250,5041,318,5359,"Felony",2834,2222,612,366,326,40,3200,43401,42706,666136
"El Paso",2015,59,8076,1069,9145,"Misdemeanor",3720,3262,458,1097,1030,67,4817,43221,42448,675511
"El Paso",2015,251,5260,362,5622,"Felony",2800,2277,523,359,326,33,3159,43221,42448,675511
"El Paso",2016,60,8061,1074,9135,"Misdemeanor",3212,2841,371,1087,1020,67,4299,43647,42856,675511
"El Paso",2016,252,5781,325,6106,"Felony",3043,2546,497,330,301,29,3373,43647,42856,675511
"Elbert",2014,61,226,77,303,"Misdemeanor",152,137,15,75,66,9,227,80,80,24047
"Elbert",2014,253,53,11,64,"Felony",35,27,8,10,10,NA,45,80,80,24047
"Elbert",2015,62,240,82,322,"Misdemeanor",162,137,25,81,69,12,243,72,63,24565
"Elbert",2015,254,63,19,82,"Felony",46,36,10,19,15,4,65,72,63,24565
"Elbert",2016,63,212,117,329,"Misdemeanor",154,138,16,116,95,21,270,42,40,24565
"Elbert",2016,255,86,35,121,"Felony",64,52,12,35,31,4,99,42,40,24565
"Fremont",2014,64,563,193,756,"Misdemeanor",399,337,62,94,79,15,493,2014,1927,46611
"Fremont",2014,256,259,64,323,"Felony",170,141,29,41,36,5,211,2014,1927,46611
"Fremont",2015,65,636,226,862,"Misdemeanor",445,390,55,219,172,47,664,1994,1898,46580
"Fremont",2015,257,282,93,375,"Felony",149,124,25,88,79,9,237,1994,1898,46580
"Fremont",2016,66,423,594,1017,"Misdemeanor",198,162,36,586,513,73,784,897,871,46580
"Fremont",2016,258,379,230,609,"Felony",144,111,33,220,183,37,364,897,871,46580
"Garfield",2014,67,1057,271,1328,"Misdemeanor",620,492,128,310,244,66,930,2392,2332,57939
"Garfield",2014,259,283,88,371,"Felony",194,137,57,106,77,29,300,2392,2332,57939
"Garfield",2015,68,1104,288,1392,"Misdemeanor",671,550,121,308,272,36,979,2858,2818,58026
"Garfield",2015,260,401,84,485,"Felony",252,172,80,108,77,31,360,2858,2818,58026
"Garfield",2016,69,1113,326,1439,"Misdemeanor",590,504,86,355,297,58,945,2789,2722,58026
"Garfield",2016,261,386,138,524,"Felony",258,186,72,150,127,23,408,2789,2722,58026
"Gilpin",2014,70,422,72,494,"Misdemeanor",286,254,32,73,62,11,359,1539,1523,5667
"Gilpin",2014,262,78,16,94,"Felony",64,56,8,16,15,1,80,1539,1523,5667
"Gilpin",2015,71,509,122,631,"Misdemeanor",356,309,47,122,113,9,478,1357,1350,5975
"Gilpin",2015,263,149,25,174,"Felony",112,96,16,25,23,2,137,1357,1350,5975
"Gilpin",2016,72,384,126,510,"Misdemeanor",231,209,22,122,109,13,353,1144,1139,5975
"Gilpin",2016,264,124,27,151,"Felony",77,72,5,28,25,3,105,1144,1139,5975
"Grand",2014,73,303,21,324,"Misdemeanor",223,202,21,19,18,1,242,304,300,14249
"Grand",2014,265,63,7,70,"Felony",44,36,8,7,5,2,51,304,300,14249
"Grand",2015,74,240,65,305,"Misdemeanor",182,162,20,62,56,6,244,329,326,14542
"Grand",2015,266,41,8,49,"Felony",29,25,4,8,8,NA,37,329,326,14542
"Grand",2016,75,258,95,353,"Misdemeanor",181,159,22,93,77,16,274,244,240,14542
"Grand",2016,267,48,14,62,"Felony",33,27,6,14,12,2,47,244,240,14542
"Gunnison",2014,76,326,40,366,"Misdemeanor",256,226,30,41,38,3,297,594,554,15628
"Gunnison",2014,268,85,7,92,"Felony",73,60,13,7,7,NA,80,594,554,15628
"Gunnison",2015,77,363,48,411,"Misdemeanor",294,256,38,53,44,9,347,600,573,15873
"Gunnison",2015,269,72,15,87,"Felony",53,46,7,14,11,3,67,600,573,15873
"Gunnison",2016,78,363,43,406,"Misdemeanor",283,243,40,42,36,6,325,629,598,15873
"Gunnison",2016,270,102,13,115,"Felony",76,55,21,11,9,2,87,629,598,15873
"Hinsdale",2014,79,10,NA,10,"Misdemeanor",4,4,NA,NA,NA,NA,4,8,8,810
"Hinsdale",2014,271,2,1,3,"Felony",1,1,NA,1,1,NA,2,8,8,810
"Hinsdale",2015,80,6,5,11,"Misdemeanor",5,5,NA,NA,NA,NA,5,10,10,775
"Hinsdale",2015,272,3,NA,3,"Felony",2,2,NA,1,1,NA,3,10,10,775
"Hinsdale",2016,81,6,3,9,"Misdemeanor",1,1,NA,NA,NA,NA,1,15,13,775
"Hinsdale",2016,273,2,2,4,"Felony",2,2,NA,1,NA,1,3,15,13,775
"Huerfano",2014,82,228,25,253,"Misdemeanor",107,94,13,25,24,1,132,359,336,6520
"Huerfano",2014,274,78,36,114,"Felony",47,34,13,37,31,6,84,359,336,6520
"Huerfano",2015,83,234,26,260,"Misdemeanor",100,81,19,26,22,4,126,435,407,6435
"Huerfano",2015,275,69,20,89,"Felony",45,34,11,20,15,5,65,435,407,6435
"Huerfano",2016,84,224,36,260,"Misdemeanor",88,79,9,36,29,7,124,544,518,6435
"Huerfano",2016,276,96,41,137,"Felony",59,49,10,42,28,14,101,544,518,6435
"Jackson",2014,85,17,12,29,"Misdemeanor",11,9,2,12,9,3,23,3,3,1369
"Jackson",2014,277,4,2,6,"Felony",3,3,NA,1,1,NA,4,3,3,1369
"Jackson",2015,86,14,7,21,"Misdemeanor",8,7,1,7,6,1,15,1,1,1404
"Jackson",2015,278,1,4,5,"Felony",1,1,NA,3,3,NA,4,1,1,1404
"Jackson",2016,87,15,3,18,"Misdemeanor",3,3,NA,3,2,1,6,11,11,1404
"Jackson",2016,279,8,2,10,"Felony",7,5,2,2,2,NA,9,11,11,1404
"Jefferson",2014,88,4831,813,5644,"Misdemeanor",2360,2079,281,806,739,67,3166,27809,27426,515493
"Jefferson",2014,280,2619,437,3056,"Felony",1416,1179,237,448,399,49,1864,27809,27426,515493
"Jefferson",2015,89,4920,964,5884,"Misdemeanor",2321,2022,299,952,862,90,3273,31197,30747,522599
"Jefferson",2015,281,3032,440,3472,"Felony",1611,1343,268,456,410,46,2067,31197,30747,522599
"Jefferson",2016,90,5304,1097,6401,"Misdemeanor",2285,2022,263,1046,957,89,3331,33978,33397,522599
"Jefferson",2016,282,3404,539,3943,"Felony",1738,1503,235,563,493,70,2301,33978,33397,522599
"Kiowa",2014,91,87,3,90,"Misdemeanor",44,41,3,2,2,NA,46,0,0,1439
"Kiowa",2014,283,8,2,10,"Felony",6,4,2,2,1,1,8,0,0,1439
"Kiowa",2015,92,65,4,69,"Misdemeanor",26,25,1,4,4,NA,30,0,0,1409
"Kiowa",2015,284,9,1,10,"Felony",4,4,NA,1,NA,1,5,0,0,1409
"Kiowa",2016,93,53,3,56,"Misdemeanor",26,24,2,3,3,NA,29,0,0,1409
"Kiowa",2016,285,4,NA,4,"Felony",2,2,NA,NA,NA,NA,2,0,0,1409
"Kit Carson",2014,94,181,39,220,"Misdemeanor",112,101,11,37,29,8,149,321,314,8032
"Kit Carson",2014,286,49,6,55,"Felony",29,24,5,5,3,2,34,321,314,8032
"Kit Carson",2015,95,164,62,226,"Misdemeanor",105,94,11,58,51,7,163,328,315,8061
"Kit Carson",2015,287,54,14,68,"Felony",33,23,10,13,13,NA,46,328,315,8061
"Kit Carson",2016,96,196,73,269,"Misdemeanor",108,88,20,70,61,9,178,346,331,8061
"Kit Carson",2016,288,61,27,88,"Felony",35,23,12,26,15,11,61,346,331,8061
"La Plata",2014,97,753,463,1216,"Misdemeanor",450,389,61,380,303,77,830,1731,1699,54054
"La Plata",2014,289,249,224,473,"Felony",141,89,52,184,135,49,325,1731,1699,54054
"La Plata",2015,98,906,541,1447,"Misdemeanor",547,476,71,507,408,99,1054,2238,2197,54874
"La Plata",2015,290,281,210,491,"Felony",174,139,35,199,150,49,373,2238,2197,54874
"La Plata",2016,99,1000,463,1463,"Misdemeanor",617,549,68,430,366,64,1047,2374,2316,54874
"La Plata",2016,291,324,178,502,"Felony",216,183,33,163,139,24,379,2374,2316,54874
"Lake",2014,100,152,63,215,"Misdemeanor",107,91,16,64,51,13,171,256,244,7359
"Lake",2014,292,77,8,85,"Felony",59,47,12,8,7,1,67,256,244,7359
"Lake",2015,101,242,68,310,"Misdemeanor",182,148,34,67,56,11,249,173,160,7408
