urbanicity,year,medianHI,IncarcerationRate,total_pop
"small/mid",2001,83,0.49054827687305363,8046099
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,0,NaN,0
"small/mid",2002,108,0.425158717400039,62472199
"small/mid",2003,147,0.28176761503885084,3177796
"small/mid",2003,105,0.440537264030261,14344530
"small/mid",2003,81,0.5306948130978936,2407410
"small/mid",2003,133,0.3150687038161952,5202040
"small/mid",2003,124,0.2899241581823452,5806691
"small/mid",2003,86,0.5173662050072731,4511118
"small/mid",2003,114,0.3901467709652878,10071338
"small/mid",2003,74,0.4889529843551249,987416
"small/mid",2003,98,0.517054562748832,9905531
"small/mid",2003,92,0.5078484890263515,8682117
"small/mid",2004,101,0.49364050269892173,13384234
"small/mid",2004,136,0.2755114578853597,3255400
"small/mid",2004,93,0.5276797975270947,13936482
"small/mid",2004,145,0.3195760346810808,1560505
"small/mid",2004,124,0.3355813958536379,4146237
"small/mid",2004,129,0.31457763962737895,2701082
"small/mid",2004,116,0.35401949532015325,8289374
"small/mid",2004,83,0.553718439150216,7173682
"small/mid",2004,150,0.2317558391520612,1342361
"small/mid",2004,109,0.42226812087871524,9237259
"small/mid",2005,139,0.2775794722153231,3909511
"small/mid",2005,87,0.5632403357642124,8715640
"small/mid",2005,128,0.37388123409862506,4508651
"small/mid",2005,78,0.5435972588535875,3005166
"small/mid",2005,102,0.5404430300703538,16214475
"small/mid",2005,110,0.40175452740513634,10369516
"small/mid",2005,119,0.3869893957350861,10298215
"small/mid",2005,95,0.5749314854314052,9561835
"small/mid",2005,63,0.4254718146990802,1302789
"small/mid",2005,154,0.2893181085173281,3147055
"small/mid",2006,99,0.58598794285199,18275632
"small/mid",2006,116,0.3699190238372947,8802467
"small/mid",2006,148,0.270189867609285,3879124
"small/mid",2006,135,0.28869681672879544,2944958
"small/mid",2006,91,0.5444798308702569,11768480
"small/mid",2006,124,0.41689392200916847,9369050
"small/mid",2006,69,0.46346888945789744,1749632
"small/mid",2006,107,0.4540481603496561,12392518
"small/mid",2006,170,0.27189665474587305,897032
"small/mid",2006,81,0.532965347105759,4533503
"small/mid",2007,86,0.5534885135123878,9603632
"small/mid",2007,116,0.40483118566164034,13154866
"small/mid",2007,126,0.3868417672985649,7233707
"small/mid",2007,147,0.26265659795838403,2434738
"small/mid",2007,138,0.2893028679891507,2855485
"small/mid",2007,96,0.5659316772682189,19784367
"small/mid",2007,155,0.36952759190863993,517688
"small/mid",2007,164,0.282692260716435,900626
"small/mid",2007,72,0.5130097478208209,2831915
"small/mid",2007,106,0.5099066085729569,16365742
"small/mid",2008,88,0.5559158322214802,10878985
"small/mid",2008,144,0.22083039844657237,1996102
"small/mid",2008,75,0.49043734496798036,4695401
"small/mid",2008,132,0.344153159029362,6391631
"small/mid",2008,121,0.39632766352260446,10248843
"small/mid",2008,103,0.5520255970529377,12395802
"small/mid",2008,96,0.5791220704305176,14613154
"small/mid",2008,155,0.30897456786918565,1810505
"small/mid",2008,167,0.2652408659642501,1049235
"small/mid",2008,111,0.44435896612252845,12296815
"small/mid",2009,102,0.5418337010897943,18998080
"small/mid",2009,92,0.5878982844638903,18362190
"small/mid",2009,160,0.31051986873478277,595131
"small/mid",2009,142,0.22806511483881578,1556573
"small/mid",2009,163,0.2612070950962347,1068118
"small/mid",2009,121,0.4239310069931827,8755670
"small/mid",2009,111,0.4124414693958852,11004713
"small/mid",2009,152,0.24289744975279023,2272564
"small/mid",2009,78,0.4814834874185938,6259197
"small/mid",2009,130,0.34030733560493054,6940491
"small/mid",2010,116,0.40534307117075796,12883901
"small/mid",2010,126,0.3423296038211964,7568729
"small/mid",2010,87,0.5694168681491526,10159692
"small/mid",2010,95,0.5712156385919811,15570302
