state,year,medianHI,IncarcerationRate,total_pop
"AL",2012,60818,4.197959077342186e-3,537404
"AL",2012,40356,7.030700042674409e-3,1370845
"AL",2012,33241,7.207828161979319e-3,612251
"AL",2012,44187,6.445079657526823e-3,885792
"AL",2013,31114,6.113256113256113e-3,121212
"AL",2013,43993,6.667014011350156e-3,499024
"AL",2013,38593,6.742703592123253e-3,844765
"AL",2013,44937,6.234985690101143e-3,857099
"AL",2013,51480,3.685223975748429e-3,307444
"AL",2013,26195,4.6634850931789726e-3,110218
"AL",2013,62124,4.008229937686563e-3,543382
"AL",2013,41979,6.6726942717434e-3,590616
"AL",2013,34873,6.420193603014101e-3,551541
"AL",2013,46732,5.0071401922062555e-3,388645
"AL",2014,33422,5.310400471690794e-3,257796
"AL",2014,44852,6.582393009547202e-3,658727
"AL",2014,40652,6.4425996566525555e-3,878993
"AL",2014,45240,4.871247784513609e-3,177162
"AL",2014,51319,3.83825460422208e-3,504917
"AL",2014,26835,4.94509557437054e-3,108188
"AL",2014,62760,3.809039198938703e-3,550270
"AL",2014,42918,7.615162241018143e-3,746143
"AL",2014,36508,5.801755870498854e-3,658249
"AL",2014,46900,4.836932525586816e-3,251399
"AZ",2000,0,NaN,0
"AZ",2000,0,NaN,0
"AZ",2000,0,NaN,0
"AZ",2000,0,NaN,0
"AZ",2000,0,NaN,0
"AZ",2000,0,NaN,0
"AZ",2000,0,NaN,0
"AZ",2000,0,NaN,0
"AZ",2000,34486,4.306640994794746e-3,2059842
"AZ",2000,47008,4.491502684517006e-3,3100744
"AZ",2001,0,NaN,0
"AZ",2001,0,NaN,0
"AZ",2001,0,NaN,0
"AZ",2001,0,NaN,0
"AZ",2001,37046,5.200261280925681e-3,985912
"AZ",2001,23809,2.447308532415402e-3,87443
"AZ",2001,45921,4.71978964662661e-3,3175989
"AZ",2001,32209,3.0135187461068367e-3,118798
"AZ",2001,29903,4.5086539731939695e-3,544952
"AZ",2001,33939,3.363088713951546e-3,360383
"AZ",2002,0,NaN,0
"AZ",2002,0,NaN,0
"AZ",2002,0,NaN,0
"AZ",2002,0,NaN,0
"AZ",2002,37083,4.985021018411291e-3,1003406
"AZ",2002,24446,2.5811506861943005e-3,86783
"AZ",2002,46038,5.1075324968943795e-3,3255388
"AZ",2002,33237,3.990428160403971e-3,462607
"AZ",2002,30049,4.703457130507508e-3,390989
"AZ",2002,35132,2.7551983438365755e-3,197082
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,0,NaN,0
"AZ",2003,42021,5.297653657725696e-3,5510364
"AZ",2004,0,NaN,0
"AZ",2004,0,NaN,0
"AZ",2004,0,NaN,0
"AZ",2004,0,NaN,0
"AZ",2004,0,NaN,0
"AZ",2004,0,NaN,0
"AZ",2004,0,NaN,0
"AZ",2004,0,NaN,0
"AZ",2004,36826,4.893589792523108e-3,2226995
"AZ",2004,48293,5.977680329560645e-3,3425409
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,0,NaN,0
"AZ",2005,44784,5.638219876189336e-3,5839077
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,0,NaN,0
"AZ",2006,47726,5.901504045103606e-3,6029141
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,0,NaN,0
"AZ",2007,50069,6.093538235845855e-3,6167681
"AZ",2008,0,NaN,0
"AZ",2008,0,NaN,0
"AZ",2008,0,NaN,0
"AZ",2008,0,NaN,0
"AZ",2008,47601,5.100554586875288e-3,1434942
"AZ",2008,32011,2.620579844755523e-3,90438
"AZ",2008,56505,6.87185120628465e-3,3779622
"AZ",2008,42103,8.206576558402259e-3,247850
"AZ",2008,38882,5.548992709950258e-3,598487
"AZ",2008,44000,3.883028607302574e-3,129023
"AZ",2009,0,NaN,0
"AZ",2009,0,NaN,0
"AZ",2009,0,NaN,0
"AZ",2009,0,NaN,0
"AZ",2009,43786,4.658635773095225e-3,130081
"AZ",2009,29400,2.644172985730207e-3,91522
"AZ",2009,52840,6.6850244696990335e-3,4295721
"AZ",2009,40384,7.372996456233706e-3,448393
"AZ",2009,36827,4.939568055303254e-3,401857
"AZ",2009,43243,5.746325262920519e-3,975580
"AZ",2010,0,NaN,0
"AZ",2010,0,NaN,0
"AZ",2010,0,NaN,0
"AZ",2010,0,NaN,0
"AZ",2010,0,NaN,0
"AZ",2010,0,NaN,0
"AZ",2010,0,NaN,0
"AZ",2010,0,NaN,0
"AZ",2010,39115,5.5440679464313e-3,1210483
"AZ",2010,49220,6.4384639700368175e-3,5181826
"AZ",2011,0,NaN,0
"AZ",2011,0,NaN,0
"AZ",2011,0,NaN,0
"AZ",2011,0,NaN,0
"AZ",2011,0,NaN,0
"AZ",2011,0,NaN,0
"AZ",2011,0,NaN,0
"AZ",2011,0,NaN,0
"AZ",2011,37377,5.741072173743706e-3,1078370
"AZ",2011,49010,6.322823568976052e-3,5328632
"AZ",2012,0,NaN,0
"AZ",2012,0,NaN,0
"AZ",2012,0,NaN,0
"AZ",2012,0,NaN,0
"AZ",2012,44836,5.252889490475961e-3,1121478
"AZ",2012,34752,4.83548478009529e-3,450627
"AZ",2012,51350,6.501941419798465e-3,4256421
"AZ",2012,41080,6.8688718888050854e-3,37124
"AZ",2012,38904,4.941348343574099e-3,256003
"AZ",2012,43250,7.451248418572862e-3,343835
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,0,NaN,0
"AZ",2013,48545,6.244755861325376e-3,6544211
"AZ",2014,0,NaN,0
"AZ",2014,0,NaN,0
"AZ",2014,0,NaN,0
"AZ",2014,0,NaN,0
"AZ",2014,0,NaN,0
"AZ",2014,0,NaN,0
"AZ",2014,0,NaN,0
"AZ",2014,0,NaN,0
"AZ",2014,39597,6.148614414894074e-3,1048041
"AZ",2014,52036,6.375802946902911e-3,5568083
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,0,NaN,0
"CA",1989,31196,2.8268074877189795e-3,8100304
"CA",1995,27094,4.429678848283499e-3,1206408
