year,state,CrimeRate,ImprisonedPerCrimeRate
1996,"CO",7.082231125148838e-2,2.9375700302319188e-2
1996,"FL",5.7890103789435286e-2,4.20824829875811e-2
1996,"GA",8.942428866462424e-2,3.733675608909128e-2
1996,"HI",9.89387775728327e-2,1.42375565033072e-2
1996,"IA",5.3684816010993903e-2,3.9898273993162675e-2
1996,"IL",3.871307483399163e-2,7.673641615854157e-2
1996,"KY",2.4622440675284196e-2,0.12623418758091434
1996,"LA",0.10002923384673172,4.6959035808833774e-2
1996,"MA",3.3661838043220135e-2,1.291005291005291e-2
1996,"MD",9.037602361010662e-2,2.7789340535586942e-2
1996,"ME",5.1742237012748674e-2,1.588990565368518e-2
1996,"MI",7.211944267475284e-2,2.8084069845446435e-2
1996,"MN",6.884005195348676e-2,1.605273702831341e-2
1996,"MO",7.494926779627621e-2,4.712662454839359e-2
1996,"MS",5.187697759777243e-2,7.086084816152152e-2
1996,"NC",8.008195234453681e-2,3.715024338445813e-2
1996,"ND",4.347672749863678e-2,3.3632846624235616e-2
1996,"NE",7.138967231328495e-2,2.5488258139955734e-2
1996,"NH",3.5232896176124726e-2,3.210191082802548e-2
1996,"NJ",6.516349734088558e-2,4.5006729629597744e-2
1996,"NV",8.653785868979144e-2,3.97851354288494e-2
1996,"NY",6.157495286411353e-2,4.161672155650866e-2
1996,"OH",5.613931981796155e-2,4.909944747362832e-2
1996,"OK",9.199034472218601e-2,3.408258001465917e-2
1996,"OR",8.78415609602241e-2,2.1896406168182354e-2
1996,"PA",4.969464233070187e-2,2.4855289267244483e-2
1996,"SC",9.211186435296172e-2,3.5118108879064434e-2
1996,"SD",4.3823661931750815e-2,5.968614718614718e-2
1996,"TN",7.069741940240835e-2,4.55206646565954e-2
1996,"TX",8.672986252748126e-2,3.0359881072816994e-2
1996,"UT",8.719567612539357e-2,2.3490773950996066e-2
1996,"VA",5.8205868881546434e-2,4.2649198314794044e-2
1996,"WA",8.622026835118997e-2,1.7400610284986864e-2
1996,"WI",5.8311194322437275e-2,3.1153230246972828e-2
1996,"WV",3.890539729953517e-2,2.2260235931841912e-2
1996,"WY",6.166128442414137e-2,2.5934861278648975e-2
1997,"AL",7.17676132801363e-2,3.7150936898219335e-2
1997,"AR",7.248291660764614e-2,2.465548030594023e-2
1997,"CA",7.456253477243077e-2,8.445717458234492e-2
1997,"CO",6.717496110327127e-2,3.17449956483899e-2
1997,"FL",0.11130011154573133,2.1202932207609992e-2
1997,"GA",8.23787699002668e-2,3.7132027080543875e-2
1997,"HI",8.990823163256627e-2,2.2178008431538963e-2
1997,"IA",5.074018107364047e-2,4.509812607982989e-2
1997,"IL",3.774937376359458e-2,8.506355017241264e-2
1997,"KY",2.5199585883327692e-2,0.12533619413133482
1997,"LA",9.099840663260761e-2,5.659009749192627e-2
1997,"MA",2.9978278320819757e-2,1.4727888477593131e-2
1997,"MD",8.392308043751456e-2,2.9883402014967544e-2
1997,"ME",4.743023093666066e-2,1.8611785759938642e-2
1997,"MI",6.98745217015542e-2,3.0132467261090992e-2
1997,"MN",6.8330341966297e-2,1.742141506754043e-2
1997,"MO",6.997078563856858e-2,5.0347801277079676e-2
1997,"MS",5.0998998974545746e-2,8.258488737929608e-2
1997,"NC",7.888604650936673e-2,3.1311627356630116e-2
1997,"ND",4.249761944469849e-2,3.392619786062409e-2
1997,"NE",6.809589916744119e-2,2.554098219041997e-2
1997,"NH",6.329665114647085e-3,0.2061814556331007
1997,"NJ",6.0574721339634076e-2,5.0235895869913734e-2
1997,"NV",8.626512081891799e-2,4.1493897668596465e-2
1997,"NY",5.7501039920622096e-2,4.104307590302808e-2
1997,"OH",4.940147369608707e-2,5.1807341363521574e-2
1997,"OK",4.875703012044356e-2,5.2384062704114956e-2
1997,"OR",9.334854962300315e-2,1.5947430364848962e-2
1997,"PA",4.905127966780463e-2,2.4700812543807273e-2
1997,"SC",9.141422299002866e-2,3.436075592809464e-2
1997,"SD",3.5135628473573224e-2,7.710711600246087e-2
1997,"TN",7.040485338198454e-2,4.976167042976514e-2
1997,"TX",8.261384270337303e-2,3.248772656847922e-2
1997,"UT",8.789675388688702e-2,2.435174746335964e-2
1997,"VA",5.643467547196949e-2,4.603184960293548e-2
1997,"WA",8.425438472569934e-2,1.83090601955014e-2
1997,"WI",5.5622187243018116e-2,3.4117498924482965e-2
1997,"WV",3.905281939550439e-2,1.8252364771788043e-2
1997,"WY",3.1656781945621194e-2,3.40632603406326e-2
1998,"AL",6.628827993695312e-2,4.546468382204194e-2
1998,"AR",6.484932959263297e-2,4.670665282765842e-2
1998,"CA",6.653644649314858e-2,9.39301261116206e-2
1998,"CO",5.991462780100652e-2,3.818227490759459e-2
1998,"FL",0.10567371751146097,2.2441075147433775e-2
1998,"GA",7.678201705524011e-2,4.157675399650162e-2
1998,"HI",7.947272343437604e-2,4.047064706158101e-2
1998,"IA",4.92568029024507e-2,4.433645032014372e-2
1998,"IL",3.627680432451138e-2,8.989716081861356e-2
1998,"KY",2.350419759655757e-2,0.12704002058109434
1998,"LA",8.84644680095075e-2,6.327584270315702e-2
1998,"MA",2.872108126423583e-2,1.5648041946583646e-2
1998,"MD",7.948019224273828e-2,3.214274118780235e-2
1998,"ME",4.5793489704876754e-2,1.7829396118090122e-2
1998,"MI",7.090365944041697e-2,3.0394069109362796e-2
1998,"MN",6.1555972891320324e-2,2.15313924305854e-2
1998,"MO",6.99165604719172e-2,5.609484817196414e-2
1998,"MS",4.735428168104745e-2,8.847113740352175e-2
1998,"NC",7.589876288636287e-2,2.8865772904227222e-2
1998,"ND",4.194053550296666e-2,4.76345627525088e-2
1998,"NE",6.947430780137712e-2,2.681130044592309e-2
1998,"NH",1.585678767277481e-2,7.702564907051533e-2
1998,"NJ",5.438108519669158e-2,5.759359801689412e-2
1998,"NV",7.459530389294619e-2,4.7512799784424686e-2
1998,"NY",5.224523402317852e-2,4.221284500735072e-2
1998,"OH",4.8798321039944165e-2,5.2670025816198625e-2
1998,"OK",4.851540649655016e-2,5.863192182410423e-2
1998,"OR",8.38991259640568e-2,2.0955113133884085e-2
1998,"PA",4.8212701261787144e-2,2.8175104344914322e-2
1998,"SC",8.594713296967092e-2,3.7726346939776e-2
1998,"SD",3.5708125707346e-2,8.96579104082578e-2
1998,"TN",6.828804382758635e-2,5.331377632058859e-2
1998,"TX",7.642454701486551e-2,3.769781341466414e-2
1998,"UT",8.044689361022433e-2,2.7197925051426527e-2
1998,"VA",5.261962342373467e-2,4.506097861234673e-2
1998,"WA",8.386825294587642e-2,1.9235090419392073e-2
1998,"WI",1.737878904850992e-2,0.12141151321832362
1998,"WV",3.917686044375427e-2,3.1852064854343165e-2
1998,"WY",5.628279480806407e-2,3.0225711481844945e-2
1999,"AL",6.338570323872687e-2,4.540142826228089e-2
1999,"AR",6.054173642669218e-2,7.54006293875575e-2
1999,"CA",5.749997553935056e-2,0.10367908712092104
1999,"CO",5.565123134568182e-2,4.0828047745093146e-2
1999,"FL",9.402942624845483e-2,2.5335044852563163e-2
1999,"GA",7.433175098506827e-2,4.050586748980841e-2
1999,"HI",7.188518511594284e-2,4.083154171579166e-2
1999,"IA",4.908966574938793e-2,4.0795294008661616e-2
1999,"IL",3.3022588282659054e-2,0.10095424753799664
1999,"KY",2.1446757906208997e-2,0.13942391417923444
1999,"LA",8.355931211740647e-2,6.635103888490848e-2
1999,"MA",2.9254340206548116e-2,1.5627504407757654e-2
1999,"MD",5.349402577372928e-2,3.919739673319695e-2
1999,"ME",4.284123367283726e-2,1.7970578401872283e-2
1999,"MI",6.341987159566356e-2,3.0975050638592065e-2
1999,"MN",5.4450707421664676e-2,2.3996444116051122e-2
1999,"MO",6.645286449769387e-2,6.175899395759085e-2
1999,"MS",5.122952040714067e-2,8.194814532842702e-2
1999,"NC",7.328132926262604e-2,2.3835515811274747e-2
1999,"ND",3.8690810932403556e-2,4.8747763864042934e-2
1999,"NE",6.461701741134175e-2,2.5628505053195423e-2
1999,"NH",1.6540195754976356e-2,7.875295508274231e-2
1999,"NJ",5.0364169761928104e-2,5.522533855753045e-2
1999,"NV",6.52352270225922e-2,4.900896649362907e-2
1999,"NY",4.375184153168216e-2,5.10572046335425e-2
1999,"OH",4.897095504165193e-2,5.3770771197273116e-2
1999,"OK",4.852795422102816e-2,5.6390494540783556e-2
1999,"OR",7.391494880333496e-2,2.230662276768248e-2
1999,"PA",4.569828383060226e-2,3.0822583421720468e-2
1999,"SC",7.931182264879198e-2,3.8308995853614566e-2
1999,"SD",3.751120992451984e-2,8.498319013821441e-2
1999,"TN",6.704429123176778e-2,4.5480861253441196e-2
1999,"TX",7.451737593603716e-2,3.843396365967308e-2
1999,"UT",6.633708839268666e-2,7.670167250097239e-2
1999,"VA",4.876197832191979e-2,4.652077677289941e-2
1999,"WA",7.602063827238033e-2,2.0184173894421245e-2
1999,"WI",4.943227093058355e-2,4.244974503527832e-2
1999,"WV",3.471027061616961e-2,3.2529594411022704e-2
1999,"WY",3.046863302889654e-2,3.43980343980344e-2
2000,"AL",5.7700035151440156e-2,4.4188348416289595e-2
2000,"AR",6.355467035593702e-2,6.961864713985355e-2
2000,"AZ",9.009279233665357e-2,3.509455320282328e-2
2000,"CA",5.6655342514960676e-2,9.667813270117732e-2
2000,"CO",5.533878466188099e-2,4.20635310290652e-2
2000,"FL",8.818667054270636e-2,3.0148507088369112e-2
2000,"GA",6.806843979087446e-2,4.247164891778971e-2
2000,"HI",7.859727081788673e-2,2.4214411913175166e-2
2000,"IA",5.0042486486898956e-2,4.2521211593129514e-2
2000,"IL",3.0609239664766908e-2,0.11429048932182549
2000,"KY",2.1994675282608317e-2,0.13886681433136636
2000,"LA",7.84913560717669e-2,6.345695301417292e-2
2000,"MA",3.56482517686671e-2,2.1861279828931504e-2
2000,"MD",7.235679885004713e-2,3.1528012006250675e-2
2000,"ME",3.930829008032012e-2,1.98248040571692e-2
2000,"MI",6.1688177914074854e-2,3.170865048992809e-2
2000,"MN",5.39278190793942e-2,2.4137627337580365e-2
2000,"MO",6.54282676334559e-2,6.316411845041804e-2
2000,"MS",5.225839857548239e-2,8.542064127023201e-2
2000,"NC",7.167807756076337e-2,2.8941931581078932e-2
2000,"ND",3.9778154171389274e-2,3.873859452537218e-2
2000,"NE",6.444812586586063e-2,2.7298418615837892e-2
2000,"NH",2.110014923296177e-2,5.719483768264256e-2
2000,"NJ",4.796791138815708e-2,5.114883241114133e-2
2000,"NV",6.317076364256932e-2,5.301707072824239e-2
2000,"NY",4.2362616047884535e-2,5.05634993045065e-2
2000,"OH",5.031544017831705e-2,5.4806493215804566e-2
2000,"OK",7.016527544651939e-2,4.652411484160324e-2
2000,"OR",7.321364600964504e-2,2.321471507573936e-2
2000,"PA",4.446170476274479e-2,3.892597696985819e-2
2000,"SC",7.883082078170003e-2,4.2266440869319785e-2
2000,"SD",3.569886542169737e-2,8.687943262411348e-2
2000,"TN",7.318570618216962e-2,4.5335434440811874e-2
2000,"TX",7.646825307532316e-2,5.094763916690583e-2
2000,"UT",6.92155083479683e-2,3.253110543946403e-2
2000,"VA",4.431395796911822e-2,4.6679625441564024e-2
2000,"WA",7.534725584228136e-2,2.1153558052434455e-2
2000,"WI",4.806767242527817e-2,4.9046434005213066e-2
2000,"WV",3.862297533692221e-2,3.296173810201713e-2
2000,"WY",3.5430473075709325e-2,3.1578947368421054e-2
2001,"AK",4.638130551326715e-2,1.1134212645992752
2001,"AL",5.617908167660804e-2,5.341359157650696e-2
2001,"AR",6.326086300379902e-2,7.415042534995724e-2
2001,"AZ",9.455296850742764e-2,3.522555191859259e-2
2001,"CA",5.9213915264869514e-2,8.852854096540543e-2
2001,"CO",5.7034231864304404e-2,4.090389182096346e-2
2001,"FL",8.766466302059198e-2,2.8929416069955815e-2
2001,"GA",6.652839439173808e-2,4.1582789776042135e-2
2001,"HI",8.128969438382573e-2,2.6439341499383033e-2
2001,"IA",5.079274858905978e-2,4.405796474064134e-2
2001,"IL",2.9190934377014244e-2,0.1431271135866322
2001,"KY",2.2430665386093254e-2,0.14509082547712118
2001,"LA",7.858278048939775e-2,6.002981570808023e-2
2001,"MA",2.7165356159230138e-2,1.735339374252009e-2
2001,"MD",7.431155077455279e-2,3.5871393093002794e-2
2001,"ME",4.037358742631674e-2,2.0392458637937667e-2
